iteration,locality,amr_bounds,component/count,component/time,count/allocate,count/begin_migration,count/bind,count/bind_gid,count/bind_name,count/bind_prefix,count/cache/entries,count/cache/erase_entry,count/cache/evictions,count/cache/get_entry,count/cache/hits,count/cache/insert_entry,count/cache/insertions,count/cache/misses,count/cache/update_entry,count/cumulative,count/cumulative-phases,count/decrement_credit,count/end_migration,count/free,count/get_component_typename,count/increment_credit,count/iterate_names,count/iterate_types,count/localities,count/num_localities,count/num_localities_type,count/num_threads,count/on_symbol_namespace_event,count/resolve,count/resolve_gid,count/resolve_id,count/resolve_locality,count/route,count/unbind,count/unbind_gid,count/unbind_name,locality/count,locality/time,primary/count,primary/time,subgrid_leaves,subgrids,symbol/count,symbol/time,time/allocate,time/begin_migration,time/bind,time/bind_gid,time/bind_name,time/bind_prefix,time/cache/erase_entry,time/cache/get_entry,time/cache/insert_entry,time/cache/update_entry,time/decrement_credit,time/end_migration,time/free,time/get_component_typename,time/increment_credit,time/iterate_names,time/iterate_types,time/localities,time/num_localities,time/num_localities_type,time/num_threads,time/on_symbol_namespace_event,time/resolve,time/resolve_gid,time/resolve_id,time/resolve_locality,time/route,time/unbind,time/unbind_gid,time/unbind_name,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0
1,20,0.0,,,0.0,0.0,85.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,50.42857142857143,1012.7142857142857,0.0,0.0,,,0.0,0.0,,,,,,0.0,82.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,167.0,342043.0,0.0,0.0,226791.0,0.0,,,0.0,1936.0,1545.0,5658.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,115252.0,0.0,,,0.0,0.0,0.0,,404.98,330.33,328.66,379.99666666666667,359.99333333333334,378.33,397.33,362.99666666666667,386.99666666666667,384.66333333333336,65.33,62.330000000000005,61.99666666666667,82.66333333333334,69.99666666666667,74.33,81.33,64.66333333333334,61.99666666666667,59.99666666666667
1,21,0.0,,,0.0,0.0,99.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,52.095238095238095,4290.142857142857,0.0,0.0,,,0.0,0.0,,,,,,0.0,89.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,188.0,401275.0,0.0,0.0,264482.0,0.0,,,0.0,1647.0,1666.0,5255.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,136793.0,0.0,,,0.0,0.0,0.0,,1331.9933333333333,1220.6633333333332,1263.9966666666667,1311.33,1341.9966666666667,1240.9933333333333,1300.33,1253.33,1369.3266666666666,1332.6433333333332,105.66333333333334,340.33,287.99666666666667,322.99666666666667,334.99666666666667,285.66333333333336,312.66333333333336,301.66333333333336,311.66333333333336,300.99666666666667
1,22,0.0,,,0.0,0.0,103.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,54.857142857142854,4787.523809523809,0.0,0.0,,,0.0,0.0,,,,,,0.0,100.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,203.0,434360.0,0.0,0.0,279938.0,0.0,,,0.0,1931.0,1812.0,5770.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,154422.0,0.0,,,0.0,0.0,0.0,,1652.993333333333,1553.6633333333332,1691.3266666666666,1639.6599999999999,1593.6599999999999,1607.99,1574.993333333333,1693.99,1711.6599999999999,1925.3266666666666,79.33,107.99666666666667,110.66333333333334,110.66333333333334,107.66333333333334,96.99666666666667,91.99666666666667,99.99666666666667,84.66333333333334,95.33
1,23,0.0,,,0.0,0.0,96.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,50.714285714285715,10678.42857142857,0.0,0.0,,,0.0,0.0,,,,,,0.0,90.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,186.0,387619.0,0.0,0.0,255982.0,0.0,,,0.0,1942.0,1406.0,5070.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,131637.0,0.0,,,0.0,0.0,0.0,,3635.3233333333333,3692.66,4017.3233333333333,3688.986666666666,3790.66,3669.99,3588.66,3658.99,3771.3199999999997,3951.3266666666664,90.65333333333335,80.66333333333334,70.33,75.66333333333334,68.66333333333334,80.33,68.99666666666667,68.33,77.33,83.33
1,24,0.0,,,0.0,0.0,96.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,52.38095238095238,3011.6190476190477,0.0,0.0,,,0.0,0.0,,,,,,0.0,90.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,186.0,377276.0,0.0,0.0,246277.0,0.0,,,0.0,2028.0,1451.0,4452.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,130999.0,0.0,,,0.0,0.0,0.0,,891.6633333333333,808.3233333333333,817.9966666666666,841.3266666666667,869.3299999999999,822.6633333333333,793.9933333333333,785.3299999999999,785.9966666666666,741.6566666666666,70.32333333333334,372.66333333333336,356.33,349.66333333333336,354.33,351.66333333333336,324.33,380.99666666666667,328.66333333333336,356.66333333333336
1,25,0.0,,,0.0,0.0,99.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,52.61904761904762,1981.4761904761904,0.0,0.0,,,0.0,0.0,,,,,,0.0,94.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,193.0,397858.0,0.0,0.0,257164.0,0.0,,,0.0,2079.0,1710.0,5479.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,140694.0,0.0,,,0.0,0.0,0.0,,691.3299999999999,713.3299999999999,711.3133333333334,713.9966666666666,729.9966666666666,632.33,686.9966666666666,689.9966666666666,644.6533333333333,709.3299999999999,106.64999999999999,71.99666666666667,97.33,86.99666666666667,90.99666666666667,78.99666666666667,84.66333333333334,93.99666666666667,83.33,79.33
1,26,0.0,,,0.0,0.0,100.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,53.0,3868.5238095238096,0.0,0.0,,,0.0,0.0,,,,,,0.0,96.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,196.0,409639.0,0.0,0.0,266090.0,0.0,,,0.0,1949.0,1415.0,4827.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,143549.0,0.0,,,0.0,0.0,0.0,,1362.9933333333333,1354.3266666666666,1210.99,1185.33,1292.6633333333332,1332.6633333333332,1331.3266666666666,1285.33,1373.6633333333332,1511.6566666666668,159.32333333333335,115.33,109.33,108.99666666666667,120.66333333333334,109.99666666666667,105.33,114.66333333333334,113.66333333333334,103.66333333333334
1,27,0.0,,,0.0,0.0,88.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,50.476190476190474,181.38095238095238,0.0,0.0,,,0.0,0.0,,,,,,0.0,85.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,173.0,347403.0,0.0,0.0,224823.0,0.0,,,0.0,1888.0,1022.0,4208.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,122580.0,0.0,,,0.0,0.0,0.0,,118.99666666666667,69.99666666666667,75.66333333333334,72.33,80.32666666666667,69.33,80.80666666666667,69.66333333333334,80.99666666666667,71.99,67.33,68.99666666666667,72.66333333333334,66.66333333333334,66.66333333333334,82.33,69.66333333333334,58.663333333333334,71.33,66.66333333333334
1,28,0.0,,,0.0,0.0,90.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,50.95238095238095,4125.428571428572,0.0,0.0,,,0.0,0.0,,,,,,0.0,87.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,177.0,375811.0,0.0,0.0,248787.0,0.0,,,0.0,1809.0,1606.0,6043.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,127024.0,0.0,,,0.0,0.0,0.0,,1367.99,1389.9966666666667,1482.3266666666666,1444.6599999999999,1445.9966666666667,1353.9933333333333,1368.993333333333,1456.33,1353.9966666666667,1507.3166666666666,75.66333333333334,136.66333333333333,138.66333333333333,149.33,148.99666666666667,171.99666666666667,153.33,140.99666666666667,141.66333333333333,168.99666666666667
1,29,0.0,,,0.0,0.0,81.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,49.0,2380.3333333333335,0.0,0.0,,,0.0,0.0,,,,,,0.0,79.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,160.0,325689.0,0.0,0.0,213054.0,0.0,,,0.0,1909.0,1299.0,4605.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,112635.0,0.0,,,0.0,0.0,0.0,,860.9933333333333,830.9966666666666,839.9966666666666,814.3233333333333,885.6633333333333,866.9833333333332,853.3299999999999,841.9966666666666,823.9966666666666,873.6633333333333,73.33,77.66333333333334,61.330000000000005,65.33,72.66333333333334,71.66333333333334,71.33,68.66333333333334,60.99666666666667,60.99666666666667
